ticker,sector,entry_date,exit_date,entry_price,exit_price,shares,pl,pl_pct,hold_days,reason,entry_reason,action,date
BDX,Health Care,2021-02-26,2021-03-04,218.45913139343259,217.77853971862794,6,-4.083550048827874,-0.3115418753446101,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
BRK-B,Financials,2021-02-26,2021-03-04,240.7505045013428,245.23451573181148,6,26.904067382812173,1.8625137420817683,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
BMY,Health Care,2021-02-26,2021-03-04,50.936421730041495,49.18519397735596,29,-50.78560482788066,-3.438065912770417,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
BRO,Financials,2021-02-26,2021-03-04,44.518064441680906,43.49021106719971,33,-33.9191613578796,-2.30884560542316,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
CHRW,Industrials,2021-02-26,2021-03-04,81.08940836334227,82.39487860107423,18,23.498464279175096,1.609914616570452,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
CHTR,Communication Services,2021-02-26,2021-03-04,614.0334028930663,607.0323746337891,2,-14.002056518554355,-1.1401705878363109,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
DHR,Health Care,2021-02-26,2021-03-04,190.9693430175781,186.02414730834957,7,-34.6163699645997,-2.589523339761052,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
DPZ,Consumer Discretionary,2021-02-26,2021-03-04,326.88906249999997,311.19081701660156,4,-62.79298193359364,-4.802315918232477,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
EBAY,Consumer Discretionary,2021-02-26,2021-03-04,52.10178575897216,49.15909705352783,28,-82.3952837524414,-5.647961317597624,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
EA,Communication Services,2021-02-26,2021-03-04,130.68437156677246,127.9727140045166,11,-29.82823318481428,-2.0749669832328324,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
EXPD,Industrials,2021-02-26,2021-03-04,87.27723062896727,88.48754235076905,16,19.364987548828367,1.386743957249339,6,CRISIS_EXIT,NEW_CANDIDATE,SELL,2021-03-04
